Form,Exp,Geozone,Date,STemp,BTemp,BTime,Start,Visib,AvgDepth,MaxDepth,Current,Habitat,Species_ID,Family_ID,Abundance,English_Name,Scientific,Family_Name,Site_Name,Latitude,Longitude
1203,N,52020022,1994-04-03,85,80,70,10,5,6,0,2,0,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
1203,N,52020022,1994-04-03,85,80,70,10,5,6,0,2,0,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
1203,N,52020022,1994-04-03,85,80,70,10,5,6,0,2,0,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
1203,N,52020022,1994-04-03,85,80,70,10,5,6,0,2,0,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
2637,N,52020015,1996-04-30,0,79,57,10,4,8,0,1,4,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Bloody Bay Wall,NA,NA
2638,N,52020008,1996-05-02,0,79,60,11,4,4,0,2,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
5842,N,52020015,1994-03-31,84,81,63,10,4,5,0,2,4,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,Bloody Bay Wall,NA,NA
5843,N,52020023,1994-04-01,83,81,64,11,7,6,0,1,4,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,Nancy's Cup of Tea,19.693333333333335,-80.06933333333333
5843,N,52020023,1994-04-01,83,81,64,11,7,6,0,1,4,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Nancy's Cup of Tea,19.693333333333335,-80.06933333333333
5843,N,52020023,1994-04-01,83,81,64,11,7,6,0,1,4,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Nancy's Cup of Tea,19.693333333333335,-80.06933333333333
12804,N,52020007,1995-04-18,85,80,40,12,5,6,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
12804,N,52020007,1995-04-18,85,80,40,12,5,6,0,2,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
12804,N,52020007,1995-04-18,85,80,40,12,5,6,0,2,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
17202,N,52020008,1995-07-26,84,84,63,11,6,3,0,1,2,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
