Spec_Num,Common_Name,2009-02,2009-06,2009-08,2009-09,2009-12
2,Cherubfish,NA,NA,2,NA,NA
3,French Angelfish,NA,NA,1.5,1,1
4,Gray Angelfish,NA,NA,1,NA,NA
5,Queen Angelfish,NA,NA,1,NA,NA
6,Rock Beauty,NA,1,1,2,NA
7,Great Barracuda,NA,1.5,1,1,2
8,Northern/Southern Sennet,2,NA,NA,NA,NA
9,Blackcap Basslet,3,3.5,4,4,4
10,Fairy Basslet,3,4,4,4,4
13,Arrow Blenny,1,NA,NA,NA,NA
14,Diamond Blenny,1,1,2,NA,NA
17,Redlip Blenny,NA,2,1.5,1.5,NA
19,Saddled Blenny,2,3,2.7,3,3
20,Sailfin Blenny,NA,NA,NA,2,NA
24,Bonnetmouth,NA,NA,3,NA,NA
25,Honeycomb Cowfish,NA,NA,NA,1,NA
26,Scrawled Cowfish,NA,NA,1,NA,NA
30,Banded Butterflyfish,2,2,2,2,2
31,Foureye Butterflyfish,2,2,2,2,2
32,Longsnout Butterflyfish,NA,NA,1,NA,NA
34,Spotfin Butterflyfish,NA,NA,1,2,NA
35,Barred Cardinalfish,NA,NA,1,NA,NA
41,Whitestar Cardinalfish,NA,NA,2,NA,NA
42,Blue Chromis,4,4,4,4,4
43,Brown Chromis,4,4,4,4,NA
45,Sunshinefish,NA,NA,2,NA,NA
47,Beaugregory,NA,NA,2,NA,NA
48,Bicolor Damselfish,4,4,4,4,NA
49,Cocoa Damselfish,NA,NA,1,NA,NA
51,Longfin Damselfish,2,2,1.7,3,NA
53,Threespot Damselfish,2,2,2,2,NA
54,Yellowtail Damselfish,1,2,NA,2,NA
59,Spotted Drum,NA,NA,1,NA,NA
60,Brown Garden Eel,NA,NA,4,NA,NA
66,Spotted Moray,NA,NA,1,NA,2
71,Slender Filefish,NA,2,1.7,1,1
73,Eyed Flounder,NA,NA,2,NA,NA
75,Peacock Flounder,NA,1,NA,NA,NA
76,Spotted Goatfish,1,2,2,2,NA
77,Yellow Goatfish,2.5,2,3,2.5,NA
79,Bridled Goby Complex (Bridled/Sand-Canyon/Patch-Reef),2,2.5,3,3,NA
81,Goldspot Goby,NA,2,3.3,3,NA
82,Hovering Dartfish (Hovering Goby),NA,NA,1,NA,NA
