Surveys,Bottom Time,,,,,
Expert,Novice,,,,,
Code,Site,SA,SO,SA,SO,(H:M)
TWA,,,,,,
5,NW CARIBBEAN,1497,3,1904,60,3589:23:00
52,CAYMAN ISLANDS,1497,3,1904,60,3589:23:00
5202,Little Cayman,1497,3,1904,60,3589:23:00
52020000,,3,1,9,16,189:31:00
52020001,Jackson's Reef,41,0,59,3,108:55:00
52020003,Barracuda Bite,29,0,48,1,78:43:00
52020004,Mike's Mountain,21,0,28,2,47:39:00
52020005,Sarah's Set,41,0,61,0,97:21:00
52020006,Chimney,0,0,4,0,3:25
52020007,Cumber's Caves / Cumber's Cove,47,0,60,1,101:30:00
52020008,The Great Wall (Sheer Wall- East and West),78,0,117,7,199:06:00
52020009,Soto Trader,23,0,17,0,38:01:00
52020010,Gay's Reef,30,0,28,0,55:02:00
52020012,Coconut Walk,54,0,73,0,120:39:00
52020014,Owen Island,10,0,10,1,19:31
52020015,Bloody Bay Wall,1,0,13,2,38:43:00
52020017,Point of Sand,4,0,5,1,11:33
52020018,Mary's Bay,3,1,0,0,11:55
52020021,Blossom Village,0,0,1,0,0:55
52020022,Joy's Joy,41,0,65,3,109:18:00
52020023,Nancy's Cup of Tea,31,0,50,1,79:11:00
52020024,Pirate's Point Reef,21,0,18,0,46:03:00
52020025,Black Hole,20,0,10,0,25:22:00
52020026,Meadow's,26,0,70,2,98:20:00
52020027,Marilynn's Cut (Great Gash),81,0,91,1,174:06:00
52020028,Grundy's Gardens,31,0,24,0,53:40:00
52020029,Windsock,34,0,22,0,53:48:00
52020030,Lea Lea's Lookout,60,0,115,3,168:47:00
52020031,Cascades,8,0,10,0,17:29
52020032,Paul's Anchor,14,0,11,0,24:10:00
52020033,Eagle Ray Roundup,30,0,58,1,91:44:00
52020034,Bus Stop,48,0,88,2,132:34:00
52020035,Blacktip Blvd.,27,0,44,0,61:29:00
52020036,Three Fathom Reef / Mixing Bowl,123,0,163,4,292:14:00
52020037,Donna's Delight/Black Coral Forest,38,0,56,0,100:48:00
52020038,Randy's Gazebo,61,0,84,0,138:01:00
52020039,To Ringer / Ringer's Wall,36,0,57,1,94:28:00
52020040,McCoy's Wall,8,0,8,0,14:44
52020041,Bush Gardens,47,0,51,1,112:04:00
52020042,Fisheye Fantasy,11,0,2,0,10:49
52020043,Jigsaw Puzzle,27,0,46,3,78:19:00
52020044,Sand Castle,17,0,1,0,14:51
52020045,Paradise Plunge,4,0,3,0,5:18
52020046,Rock Bottom Wall,1,0,4,0,14:52
52020049,The Bluff,0,0,1,0,0:43
52020051,Sailfin Reef / Ann(a)'s Attic,23,0,14,0,35:02:00
52020052,Penguins Leap,2,0,2,0,3:30
52020054,Patty's Place,16,0,5,0,15:45
52020055,Richard's Reef,11,0,15,0,24:51:00
52020056,Charlie's Chimney,14,0,9,0,19:17
52020057,Hooray Reef,0,0,1,0,0:50
52020059,The Edge,5,0,0,0,3:54
52020060,Splitville,2,0,2,0,3:49
52020061,Lucas' Ledges,8,0,2,0,9:56
52020062,Rockhouse Wall,3,0,3,0,4:28
52020063,Coral City,2,0,0,0,2:04
52020064,Disneyland,2,0,1,0,3:37
52020065,Blacktip Tunnels,4,0,1,0,5:17
52020066,Dynamite Dropoff,21,0,6,0,22:07
52020067,Charles Bay,6,0,8,0,13:40
52020068,Main Channel East,1,0,0,0,0:30
52020069,FISH-AG01,2,0,0,0,1:10
52020070,AG15,1,0,3,0,3:53
52020071,AG16 (Lighthouse),1,0,2,0,3:35
52020072,AG17,1,0,2,0,3:23
52020073,AG18,1,0,2,0,3:21
52020074,Grundy's Reef (not garden),35,0,21,1,52:36:00
52020075,Jackson's Bite,29,0,50,2,85:47:00
52020076,Lighthouse Reef / Lighthouse Deep,17,0,7,0,18:43
52020077,Sand Chute,5,0,2,0,6:24
52020078,SCC Dock,2,0,1,0,2:15
52020079,Conch Club Dock,1,0,0,0,0:15
52020080,Paradise Villas Beach,3,0,0,0,2:30
52020081,Grouper Hole( Aggregation Site - North Buoy),5,1,0,0,2:57
52020082,Little Cayman Research Center Reef,1,0,3,0,2:36
52020083,Kingston Bight Lagoon,3,0,0,0,2:15
52020084,South Sound Yacht Club,1,0,0,0,0:20
52020085,Lucky's Reef,3,0,0,0,2:56
52020086,Diver's Delight,2,0,0,0,1:46
52020087,Ball's Landing,2,0,0,0,2:39
52020089,Dot's Hot Spot,16,0,22,0,37:29:00
52020090,Ron's Rock,2,0,8,0,10:03
52020091,Uncle Lucky's,6,0,3,0,8:04
52020092,Tibbett's Top,6,0,5,0,10:57
52020093,Martha's Finyard / Fishyard / Dave's Diggle,1,0,7,0,7:16
52020094,Sailfin Miniwall (in Jackson Bight),1,0,3,0,3:33
52020097,Little Cayman Beach Resort,0,0,9,1,8:22
TOTALS,1497,3,1904,60,3589:23:00,
